Hotel_Name,Hotel_Location,Room_Price,Hotel_Rating,Hotel_Review,Hotel_Visual
Soho Penthouse,"Westminster Borough, London",661,8.2,Good,https://cf.bstatic.com/xdata/images/hotel/square200/480269482.jpg?k=2bfe5631d4ade23e249ccb42a0196c2758a1736bc827b7bd809899fafe975031&o=
ME London by Melia,"Westminster Borough, London",685,8.5,Good,https://cf.bstatic.com/xdata/images/hotel/square200/13255625.jpg?k=726c4a23e8c5bdfe14f1096a44020e65157d2c5ff0c2f9c46663d549b3dcd076&o=
Amazing London,London,230,8.9,Good,https://cf.bstatic.com/xdata/images/hotel/square200/218073206.jpg?k=0c8ea7e6d51e87e9452181f2fae0777803d8d2fec405d9a10fd929f05132297f&o=
ND Hotel - Hyde Park,"Westminster Borough, London",174,5.1,Neutral,https://cf.bstatic.com/xdata/images/hotel/square200/377859711.jpg?k=13aea02463e61dec4657d699d0c95287fe54de841872edab326abe1b42b778b1&o=
Earls Court East Serviced Apartments,"Kensington and Chelsea, London",234,8.1,Good,https://cf.bstatic.com/xdata/images/hotel/square200/365464315.jpg?k=3feafcaa329876b285a586de65d0cc077714c06265a017d37c25385eb0098ff6&o=
"Holiday Inn Express Park Royal, an IHG Hotel","Acton, London",224,8.0,Good,https://cf.bstatic.com/xdata/images/hotel/square200/412614565.jpg?k=83e3e16dca039a65da6228e4e4a20dbb406263901395b6c7f3181086511091f3&o=
CG Kensington,"Kensington and Chelsea, London",203,8.2,Good,https://cf.bstatic.com/xdata/images/hotel/square200/270040642.jpg?k=2dfe89f15af81b0986fb165792a646716c29a1564e49a8a91f668265899cd3cc&o=
Kingsland Locke,"Hackney, London",298,8.7,Good,https://cf.bstatic.com/xdata/images/hotel/square200/481070665.jpg?k=e2699890f89d2f1c8f84b244b9398e2b382024398ea6f917b108d5495fded219&o=
Bermonds Locke,"Southwark, London",289,8.9,Good,https://cf.bstatic.com/xdata/images/hotel/square200/269497536.jpg?k=fd466570228474faaf014a70b51b6abc2a742976ad903ff7199a1187a0b5aa78&o=
"Signature London, The J Marylebone","Westminster Borough, London",349,7.9,Good,https://cf.bstatic.com/xdata/images/hotel/square200/507547211.jpg?k=b91b59131cb5d87c5ca68b2a16861be4b0b09c71ea9dd5cbb1487d351e61b23b&o=
ibis London Shepherds Bush - Hammersmith,"Hammersmith and Fulham, London",219,7.9,Good,https://cf.bstatic.com/xdata/images/hotel/square200/234738921.jpg?k=450552d66e2b2e64855ae25d76626bef2ea91151930f2a1bbd7bf45bed58faa3&o=
Camden Enterprise Hotel,"Camden, London",284,8.6,Good,https://cf.bstatic.com/xdata/images/hotel/square200/101971453.jpg?k=4b006223dcfa20459dd32c2b72f9e5af80c851f2dc5343f1fb2712e25028732a&o=
